point_label,module_abbr,network_T_s,module_T_s,module_pheno_score
AS(AS),AS,0.640832769889565,0.633090189823936,13.980769230769228
C(C),C,0.4798055974526562,0.4474999999999999,6.263888888888889
E(E),E,0.7305720899470898,0.7292318727177881,13.222222222222221
M(M),M,0.3722222222222222,0.3728070175438596,4.066666666666666
PS(PS),PS,0.3449461423958546,0.2336783610562816,6.756355141398846
RS(RS),RS,0.7413194444444444,0.7413194444444445,10.222222222222221
C(AS_C),C,0.5051184841752793,0.4474999999999999,6.138420800874676
AS(AS_C),AS,0.5051184841752793,0.633090189823936,14.403846153846152
AS(AS_E),AS,0.6501350849052425,0.633090189823936,14.011048784633692
E(AS_E),E,0.6501350849052425,0.7292318727177881,13.222222222222221
M(AS_M),M,0.5946349378200867,0.3728070175438596,4.066666666666666
AS(AS_M),AS,0.5946349378200867,0.633090189823936,14.319762273490756
PS(AS_PS),PS,0.39647183194580726,0.2336783610562816,7.449379735557704
AS(AS_PS),AS,0.39647183194580726,0.6319972768889177,13.552024722476096
AS(AS_RS),AS,0.5981766097334573,0.633090189823936,14.573407979895265
RS(AS_RS),RS,0.5981766097334573,0.7413194444444445,11.761493833398838
M(C_M),M,0.4835482226107226,0.4499999999999999,16.666666666666664
C(C_M),C,0.4835482226107226,0.4589572192513369,10.48611111111111
PS(C_PS),PS,0.3428651125806423,0.2336783610562816,6.756355141398843
C(C_PS),C,0.3428651125806423,0.4474999999999999,6.365924546601806
C(C_RS),C,0.5683455212958692,0.4474999999999999,9.513888888888891
RS(C_RS),RS,0.5683455212958692,0.7413194444444445,10.222222222222221
M(E_M),M,0.603124650612699,0.3771929824561403,5.999999999999999
E(E_M),E,0.603124650612699,0.7292318727177881,15.85185185185185
PS(E_PS),PS,0.47026647412669753,0.2336783610562816,6.7710248963562
E(E_PS),E,0.47026647412669753,0.7292318727177881,13.222222222222221
E(E_RS),E,0.487665715401476,0.7292318727177881,13.222222222222223
RS(E_RS),RS,0.487665715401476,0.7413194444444445,10.260889741756658
PS(M_PS),PS,0.3480010932642729,0.2336783610562816,6.9408018915015965
M(M_PS),M,0.3480010932642729,0.3728070175438596,4.066666666666666
M(M_RS),M,0.652945788530466,0.3728070175438596,4.066666666666667
RS(M_RS),RS,0.652945788530466,0.7413194444444445,10.222222222222223
PS(PS_RS),PS,0.42843622124353864,0.23150916017242085,6.620535575251934
RS(PS_RS),RS,0.42843622124353864,0.7385969065656566,18.00096668436192
AS(AS_AS),AS,0.640832769889565,0.633090189823936,13.980769230769232
C(C_C),C,0.4798055974526562,0.4474999999999999,6.263888888888889
E(E_E),E,0.7305720899470898,0.7292318727177881,13.222222222222221
M(M_M),M,0.3722222222222222,0.3728070175438596,4.066666666666666
PS(PS_PS),PS,0.3449461423958546,0.2336783610562816,6.756355141398845
RS(RS_RS),RS,0.7413194444444444,0.7413194444444445,10.222222222222221
C(C_AS_RS),C,0.5442499088861048,0.4474999999999999,7.656636482850617
AS(C_AS_RS),AS,0.5442499088861048,0.633090189823936,14.970821692771091
RS(C_AS_RS),RS,0.5442499088861048,0.7413194444444445,12.071962588648471
C(E_C_AS_RS),C,0.4959834096132216,0.4455158730158729,8.11534468282883
AS(E_C_AS_RS),AS,0.4959834096132216,0.633090189823936,15.062734237356429
RS(E_C_AS_RS),RS,0.4959834096132216,0.7413194444444445,11.584341594326757
E(E_C_AS_RS),E,0.4959834096132216,0.7292318727177881,13.507361429706599
PS(E_PS_RS_AS_C_M),PS,0.3989463442214569,0.23150916017242085,7.7113414086329275
M(E_PS_RS_AS_C_M),M,0.3989463442214569,0.45416666666666655,19.250434782608696
C(E_PS_RS_AS_C_M),C,0.3989463442214569,0.45732323232323235,12.503226713466175
AS(E_PS_RS_AS_C_M),AS,0.3989463442214569,0.6319972768889177,14.395202458887008
RS(E_PS_RS_AS_C_M),RS,0.3989463442214569,0.7385969065656566,20.01022393317231
E(E_PS_RS_AS_C_M),E,0.3989463442214569,0.7292318727177881,14.915504227053146
